message_id,call_id,message_type,message_content,timestamp,language,recognized
MSG10001,CALL1001,bot,"Welcome to NPCL. Please say your preferred language",2025-09-30 09:30:18,DITM,TRUE
MSG10002,CALL1001,user,Hindi,2025-09-30 09:30:35,Speech,TRUE
MSG10003,CALL1001,bot,"Namaste! NPCL mein aapka swagat hai. Kripaya apni samasya batayiye",2025-09-30 09:30:40,Hindi,TRUE
MSG10004,CALL1001,user,"Bijli ki samasya hai mere area mein",2025-09-30 09:31:15,Hindi,TRUE
MSG10005,CALL1001,bot,"Main aapki samasya samajh gaya hun. Kya aap apna meter number bata sakte hain?",2025-09-30 09:31:20,Hindi,TRUE
MSG10006,CALL1001,user,"Meter number 12345678",2025-09-30 09:31:45,Hindi,TRUE
MSG10007,CALL1001,bot,"Dhanyawad. Main aapke liye ticket generate kar raha hun",2025-09-30 09:32:00,Hindi,TRUE
MSG10008,CALL1001,bot,"Aapka ticket number 560193 hai. Technical team se sampark kiya ja raha hai",2025-09-30 09:32:30,Hindi,TRUE
MSG10009,CALL1002,bot,"Welcome to NPCL. Please say your preferred language",2025-09-30 10:15:33,DITM,TRUE
MSG10010,CALL1002,user,English,2025-09-30 10:15:50,Speech,TRUE
MSG10011,CALL1002,bot,"Hello! Welcome to NPCL. How can I help you today?",2025-09-30 10:15:55,English,TRUE
MSG10012,CALL1002,user,"I have a billing query regarding my electricity bill",2025-09-30 10:16:30,English,TRUE
MSG10013,CALL1002,bot,"I understand you have a billing inquiry. Can you please provide your consumer number?",2025-09-30 10:16:35,English,TRUE
MSG10014,CALL1002,user,"Consumer number is 87654321",2025-09-30 10:17:10,English,TRUE
MSG10015,CALL1002,bot,"Thank you. I'm checking your account details and generating a ticket for billing team",2025-09-30 10:17:15,English,TRUE
MSG10016,CALL1002,bot,"Your ticket number is 560195. Billing team will contact you within 24 hours",2025-09-30 10:18:00,English,TRUE
MSG10017,CALL1003,bot,"Welcome to NPCL. Please say your preferred language",2025-09-30 11:45:13,DITM,TRUE
MSG10018,CALL1003,user,Bengali,2025-09-30 11:45:30,Speech,TRUE
MSG10019,CALL1003,bot,"Namaskar! NPCL-e apnake swagotom. Apnar ki sahajyo dorkar?",2025-09-30 11:45:35,Bengali,TRUE
MSG10020,CALL1003,user,"Amar connection request ache",2025-09-30 11:46:10,Bengali,TRUE
MSG10021,CALL1003,bot,"Ami bujhte parchi apnar connection request ache. Apnar address bolte paren?",2025-09-30 11:46:15,Bengali,TRUE
MSG10022,CALL1003,user,"123 Park Street Kolkata",2025-09-30 11:46:50,Bengali,FALSE
MSG10023,CALL1003,bot,"Dukkhito, ami apnar address sposhto bhabe shonte pai ni. Doya kore abar bolun",2025-09-30 11:46:55,Bengali,TRUE
MSG10024,CALL1004,bot,"Welcome to NPCL. Please say your preferred language",2025-09-30 14:20:48,DITM,TRUE
MSG10025,CALL1004,user,Telugu,2025-09-30 14:21:05,Speech,TRUE
MSG10026,CALL1004,bot,"Namaskaram! NPCL ki meeru swaagatam. Meeku ela sahayam cheyagalam?",2025-09-30 14:21:10,Telugu,TRUE
MSG10027,CALL1004,user,"Load shedding complaint undi",2025-09-30 14:21:45,Telugu,TRUE
MSG10028,CALL1004,bot,"Nenu artham chesukunnanu meeku load shedding problem undi. Meeru call disconnect chesthunnaru",2025-09-30 14:22:00,Telugu,TRUE
MSG10029,CALL1005,bot,"Welcome to NPCL. Please say your preferred language",2025-09-30 15:30:23,DITM,TRUE
MSG10030,CALL1005,user,Tamil,2025-09-30 15:30:40,Speech,TRUE
MSG10031,CALL1005,bot,"Vanakkam! NPCL-il ungalai varaverkirom. Ungalukku enna uthavi vendrum?",2025-09-30 15:30:45,Tamil,TRUE
MSG10032,CALL1005,user,"Transformer problem irukku",2025-09-30 15:31:20,Tamil,TRUE
MSG10033,CALL1005,bot,"Naan purinjukitten ungalukku transformer problem irukku. Ungal area enga?",2025-09-30 15:31:25,Tamil,TRUE
MSG10034,CALL1005,user,"T Nagar Chennai",2025-09-30 15:32:00,Tamil,TRUE
MSG10035,CALL1005,bot,"Nandri. Naan ungalukku ticket generate panren",2025-09-30 15:32:15,Tamil,TRUE
MSG10036,CALL1005,bot,"Ungal ticket number 560196, 560197, 560198. Technical team contact pannuvanga",2025-09-30 15:33:30,Tamil,TRUE
MSG10037,CALL1006,bot,"Welcome to NPCL. Please say your preferred language",2025-09-29 08:15:33,DITM,TRUE
MSG10038,CALL1006,user,Marathi,2025-09-29 08:15:50,Speech,TRUE
MSG10039,CALL1006,bot,"Namaskar! NPCL madhe tumcha swagat aahe. Tumhala kay madad lagel?",2025-09-29 08:15:55,Marathi,TRUE
MSG10040,CALL1006,user,"Service outage report karaycha aahe",2025-09-29 08:16:30,Marathi,TRUE
MSG10041,CALL1006,bot,"Mala samajle tumhala service outage report karaycha aahe. Tumcha area konata?",2025-09-29 08:16:35,Marathi,TRUE
MSG10042,CALL1006,user,"Pune Cantonment",2025-09-29 08:17:10,Marathi,TRUE
MSG10043,CALL1006,bot,"Dhanyawad. Tumchyasathi ticket tayar karto",2025-09-29 08:17:25,Marathi,TRUE
MSG10044,CALL1006,bot,"Tumcha ticket number 560199 ani 560200 aahe",2025-09-29 08:18:45,Marathi,TRUE
MSG10045,CALL1007,bot,"Welcome to NPCL. Please say your preferred language",2025-09-29 12:30:48,DITM,TRUE
MSG10046,CALL1007,user,Gujarati,2025-09-29 12:31:05,Speech,TRUE
MSG10047,CALL1007,bot,"Namaste! NPCL ma tamara swagat chhe. Tamne shu madad joi chhe?",2025-09-29 12:31:10,Gujarati,TRUE
